Режим DEBUG: 2021-06-02 21:26:37,435  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:27:16,468  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:27:16,485  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:27:16,520  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:27:16,584  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:27:16,612  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:27:16,614  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:27:16,618  dev  ERROR: User aboba not found
Режим DEBUG: 2021-06-02 21:27:16,619  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 21:27:16,645  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 21:27:16,647  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 21:27:16,652  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 21:27:17,104  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 21:27:17,109  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:27:48,645  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:27:48,663  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:27:48,738  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:27:48,802  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:27:48,830  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:27:48,831  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:27:48,834  dev  ERROR: User aboba not found
Режим DEBUG: 2021-06-02 21:27:48,834  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 21:27:48,864  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 21:27:48,867  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 21:27:48,870  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 21:27:49,330  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 21:27:49,338  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:28:03,701  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:28:03,721  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:28:03,760  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:28:03,862  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:28:03,888  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:28:03,891  dev  INFO: Validating users authenticating
